actividad,prestatario,vacantes,nombre_largo,nombre_del_programa,fecha_inicio,fecha_termino,objetivo,justificación,domicilio,representante,medios_de_contacto_con_el_representante,apoyos
APOYO A PROGRAMA DE PROFESORRS TUTORES A DISTANCIA,CETIS 54 (241302054),2,CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIALES Y DE SERVICIOS No. 54,PROGRAMA DE APOYO ACADÉMICO PARA PROFESORES TUTORES EN MODALIDAD A DISTANCIA (05445c8490),2022-02-16,2023-02-15,"PROGRAMA DE APOYO ACADÉMICO DE PROFESORES TUTORES EN MODALIDAD A DISTANCIA (PAAPTD) se concibe como una estrategia que permite organizar la acción tutorial Académica y considera la planeación, organización y evaluación como los ejes rectores para el planteamiento de acciones de alto impacto que inciden en el proceso de acompañamiento del alumno a lo largo de su trayectoria escolar.","Se centra en el alumno y establece como uno de sus principios rectores la flexibilidad de los procesos formativos basados en secuencias de aprendizaje que favorezcan la comprensión de contenidos, así como el desarrollo de habilidades que permitan al alumno ser partícipe de su propia formación.","Calle: AV 608 ESQ412, Núm. exterior: S N, Núm. interior: S/N, Colonia: SAN JUAN DE ARAGON, Delegación o Municipio: ALCALDIA G.A.M.",EDGAR JULIÁN ROA RAMÍREZ,"e-mail: cetis054.vinculacion@dgeti.sems.gob.mx, Tel: 5557969960 EXT 109, Fax:","ASESORÍA,"
APOYO AL INAES A DISTANCIA,INAES (240611100),4,INSTITUTO NACIONAL DE LA ECONOMÍA SOCIAL,FOMENTO AL SECTOR SOCIAL DE LA ECONOMÍA MODALIDAD A DISTANCIA (052003b909),2022-07-16,2023-07-15,CONTAR CON PERSONAL PROFESIONAL QUE COADYUVE EN LAS DIFERENTES COORDINACIONES DEL INAES A DISTANCIA EN APOYO AL SECTOR SOCIAL DE LA ECONOMÍA.,"EL PRESTADOR OBTENDRÁ COMO BENEFICIO EXPERIENCIA PRÁCTICA ADQUIRIDA CON BASE EN LAS ACTIVIDADES DESEMPEÑADAS DENTRO DEL ÁREA VINCULANTE, MISMA QUE IMPACTARÁ DENTRO DE SU CURRICULUM. CON RELACIÓN A LA INSTITUCIÓN EL BENEFICIO QUE OBTENDREMOS POR PARTE DE LOS PRESTADORES SERÁ SU APOYO, CONOCIMIENTO FRESCO DE LA MATERIA, HABILIDADES QUE POSEEN PARA DAR CABAL CUMPLIMIENTO Y AVANCE A LOS PROYECTOS ASIGNADOS EN EL INAES.","Calle: AVENIDA PATRIOTISMO, Núm. exterior: 711, Núm. interior: TORRE B, Colonia: SAN JUAN, Delegación o Municipio: BENITO JUAREZ",MARIA DE LOURDES PEÑA MARTINEZ,"e-mail: jcruzh@inaes.gob.mx, Tel: 5589406467, Fax:","ASESORÍA, CAPACITACIÓN,"
APOYO EN DESARROLLO DE SOFTWARE A DISTANCIA,CIITA CIUDAD JUAREZ (100300108),2,CENTRO DE INNOVACIÓN E INTEGRACIÓN DE TECNOLOGÍAS AVANZADAS UNIDAD CIUDAD JUÁREZ,DESARROLLO DE SISTEMAS TECNOLÓGICOS A DISTANCIA (05691a8916),2022-03-16,2023-03-15,Apoyar al desarrollo de proyectos y prototipos de ingeniería de sistemas complejos que se puedan aplicar a las diferentes dependencias regionales en el estado de Chihuahua.,Se requiere de alumnos participantes de los últimos semestres de carreras afines a la naturaleza del CIITA Chihuahua para desarrollar prototipos que permitan promocionar el talento institucional.,"Calle: AV. INSTITUTO POLITÉCNICO NACIONAL, Núm. exterior: 2714, Núm. interior: S/N, Colonia: QUINTAS DEL SOL, Delegación o Municipio: CHIHUAHUA",ARTURO SOLIS SANTOME,"e-mail: jjislas@ipn.mx, Tel: 771 202 26 53, Fax: N/A","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, DIRECCIÓN DE TESIS, OPCIÓN A TESIS,"
"APOYO EN EL ANÁLISIS DEL CÓDIGO, ESTRUCTURA Y TECNOLOGÍAS DE LA PÁGINA HTTPS://COMOLEHAGO.ORG",CNEGSR (241501209),0,SALUD SEXUAL Y REPRODUCTIVA,ASISTENCIA TÉCNICA ADISTACIA AL CHAT ¿CÓMO LE HAGO? (05251f9021),2022-05-16,2023-05-15,"Contar con el expertise de personal con conocimientos en TIC para que la población adolescente entre a la plataforma y al chat sin dificultad para recibir atención directa de los especialistas en salud sexual y reproductiva para solucionar sus dudas y prevenir embarazos no planificados, infecciones de transmisión sexual, ser canalizados, etc.","La plataforma del chat ¿cómo le hago? requiere de mejoras, mantenimiento y revisión, presenta algunas fallas técnicas en su funcionamiento, y es necesario en pro de la mejora de la atención que se cubran estos requerimientos, motivo por el cual, es de suma importancia contar con el apoyo técnico que nos puede proporcionar el personal de servicio social especializado en esta área, para el óptimo funcionamiento de dicha plataforma.","Calle: HOMERO, Núm. exterior: 213, Núm. interior: PISO 6, Colonia: CHAPULTEPEC MORALES, Delegación o Municipio: MIGUEL HIDALGO",MAYRA MAHOGANY TORRES CHAIRES,"e-mail: servicio@setalent.com.mx, Tel: 55 7095 2383, Fax: mayra.torres@salud.gob.mx","ASESORÍA, BIBLIOGRAFÍA, PAPELERÍA,"
FACILITAR EL MANEJO DE LA INFORMACION,TULTITLAN (240105200),14,H. AYUNTAMIENTO DE TULTITLAN,EVALUACION Y ESTUDIO DE LAS AREAS DE LA ADMINISTRACION (08069H1471),2022-06-16,2023-06-15,EVALUAR LAS ACTIVIDADES DE LAS AREAS DE LA ADMINISTRACION,MEJORAR LOS SERVICIOS Y OPERACION DE LAS AREAS,"Calle: PLAZA HIDALGO, Núm. exterior: 1, Núm. interior: , Colonia: CENTRO, Delegación o Municipio: TULTITLAN DE MARIANO ESCOBEDO",ROSA MARÍA GARCÍA GUERRA,"e-mail: dect@tultitlan.gob.mx, Tel: 58880065 / 58883591, Fax:","ASESORÍA, MATERIAL Y EQUIPO,"
INFORMATICA,CNH (240500032),0,COMISION NACIONAL DE HIDROCARBUROS,TECNOLOGÍAS DE LA INFORMACIÓN. (20177b6730),2022-04-01,2023-03-31,"El objetivo de las presentes, es establecer, difundir y regular el proceso de reclutamiento, control y seguimiento para la prestación de Servicio Social y Prácticas Profesionales en la Comisión Nacional de Hidrocarburos; así como para el otorgamiento del apoyo económico correspondiente.","• 24 de la Ley General de Educación • 9, 52, 53 y 55 de la Ley • 85 92 y 93 del Reglamento de la Ley Reglamentaria del Artículo 5° Constitucional, relativo al Ejercicio de las Profesiones en el Distrito Federal • Reglamento Interno de la Comisión Nacional de Hidrocarburos ARTÍCULO 19.- FACULTADES","Calle: AV. PATRIOTISMO, Núm. exterior: 580, Núm. interior: S/N, Colonia: NONOALCO, Delegación o Municipio: BENITO JUAREZ",REYNA MUÑOZ VAZQUEZ,"e-mail: sandra.bolanos@cnh.gob.mx, Tel: (55) 47746500 ext 8437, Fax:","ASESORÍA,"
APOYO EN PROYECTOS MULTIDISCIPLINARIOS DE INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA A DISTANCIA,CICATA QRO (100203302),30,"CENTRO DE INVESTIGACION EN CIENCIA APLICADA Y TECNOLOGIA AVANZADA, UNIDAD QUERETARO",DESARROLLO DE PROYECTOS CIENTÍFICOS Y TECNOLÓGICOS Y LAS ÁREAS DE INGENIERÍA A DISTANCIA (05643a8429),2021-12-16,2022-12-15,"PROGRAMA PARA DESARROLLAR, ANALIZAR Y APLICAR LOS CONOCIMIENTOS Y HABILIDADES ADQUIRIDAS DURANTE SU FORMACIÓN ACADÉMICA SUPERIOR, COMO RETRIBUCIÓN A LA SOCIEDAD DE NUESTRO PAÍS A DISTANCIA.","APOYO EN EL SERVICIO SOCIAL ES UNA ACTIVIDAD TEMPORAL, LA CUAL REPRESENTA UNA APORTACIÓN DE UN BENEFICIO A LA SOCIEDAD, QUE PUEDE SER DE TIPO CIENTÍFICO O TECNOLÓGICO A DISTANCIA.","Calle: CERRO BLANCO, Núm. exterior: 141, Núm. interior: , Colonia: COLINAS DEL CIMATARIO, Delegación o Municipio: SANTIAGO DE QUERÉTARO",EDITH MUÑOZ OLIN,"e-mail: upis_cicataqro@ipn.mx, Tel: (442)2290804 ext 81035, Fax: (442)2290804 ext 47127","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, DIRECCIÓN DE TESIS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
APOYO A DISTANCIA AL PROMEIN,PISSD (100400900),-159,PROGRAMA INTEGRAL DE SERVICIO SOCIAL A DISTANCIA ( PISSD ),PROGRAMA INTEGRAL DE SERVICIO SOCIAL A DISTANCIA ( PISSD ) (05617a8319),2022-08-01,2023-07-31,AMPLIAR LOS ESPACIOS DE PARTICIPACIÓN DE LOS JÓVENES ESTUDIANTES MEDIANTE LA REALIZACIÓN DEL SERVICIO SOCIAL A DISTANCIA APLICANDO SUS CONOCIMIENTOS Y HABILIDADES. ESTE PROGRAMA ESTA DIRIGIDO A ESTUDIANTES EN HORARIO MATUTINO (10:00 A 14:00 HRS.) O VESPERTINO (15:00 A 19:00 HRS.),"OFRECER A LOS JÓVENES UN SERVICIO SOCIAL A DISTANCIA DIRIGIDO A LA POBLACIÓN INFANTIL Y A SU ENTORNO SOCIAL, LOGRANDO UNA PLENA IDENTIFICACIÓN E INTEGRACIÓN CON ESTE SECTOR","Calle: AV. JUAN DE DIOS BATIZ, Núm. exterior: S/N, Núm. interior: S/N, Colonia: NUEVA INDUSTRIAL VALLEJO, Delegación o Municipio: G.A.M",ILSE CAROLINA SORIANO GALLEGOS,"e-mail: isorianog@ipn.mx, Tel: 5557296000 EXT: 51619, Fax: 5557296000","ASESORÍA,"
COADYUVAR EN LA EXPLORACIÓN DE ACCIONES PREVENTIVAS Y CORRECTIVAS DEL EQUIPO DE COMPUTO,IMSS (241501300),29,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGURIDAD Y SOLIDARIDAD SOCIAL (13051f0035),2022-05-16,2023-05-15,"CONTRIBUIR EN EL DESARROLLO EDUCATIVO DE LOS ESTUDIANTES, CREANDO EN EL PRESTADOR UNA CONCIENCIA DE SOLIDARIDAD Y COMPROMISO CON LA SOCIEDAD, PARTICIPANDO EN LOS PROGRAMAS PRIORITARIOS DE LOS DIVERSOS SERVICIOS QUE PRESTA EL IMSS","LOS PROGRAMAS INSTITUCIONALES QUE SE DESARROLLAN BRINDAN A LOS PRESTADORES DE NIVEL TÉCNICO Y PROFESIONAL LA OPORTUNIDAD DE REALIZAR ACTIVIDADES ACORDES A SU PERFIL ACADEMICO, COADYUVANDO A LA MEJORA DE LA ATENCIÓN","Calle: MANUEL VILLALONGIN, Núm. exterior: 117, Núm. interior: SÓTANO ALA ORIENTE, Colonia: CUAUHTÈMOC, Delegación o Municipio: ALCALDÍA CUAUHTÉMOC",PATRICIA PÉREZ SERAPIO,"e-mail: patricia.perezse@imss.gob.mx, Tel: 5556290200 ext. 13099, Fax:","MATERIAL Y EQUIPO, PAPELERÍA,"
"ANALISIS DE REQUERIMIENTOS.DISEÑO, DESARROLLO, IMPLEMENTACIÓN Y MANTENIMIENTO DE LA INTRANET",LICONSA (240600901),1,"LICONSA S.A. DE C.V., GERENCIA METROPOLITANA SUR",DESARROLLO Y MANTENIMIENTO DE LA INTRANET (20004m1683),2022-02-16,2023-02-15,"MANTENER ACTUALIZADA DE MANERA OPORTUNA, LA INFORMACIÓN DE LA INTRANET PARA CONSULTA DE LOS USUARIOS DE LICONSA.","EL PRESTADOR DE SERVICIO SOCIAL APLICARÁ LOS CONOCIMIENTOS ADQUIRIDOS EN LA CARRERA PARA BRINDAR APOYO EN EL MANTENIMIENTO, ACTUALIZACIÓN Y PRESENTACIÓN DE LA INTRANET DE LICONSA.","Calle: SANTA CATARINA, Núm. exterior: 2, Núm. interior: S/N, Colonia: SANTA CATARINA, Delegación o Municipio: VALLE DE CHALCO SOLIDARIDAD",LAURO GARCIA JUAREZ,"e-mail: mcortesc@liconsa.gob.mx, Tel: 5558622100 EXT 63336, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO A LAS AREAS ADMINISTRATIVAS Y OPERATIVAS DE FONATUR,FONATUR (240700100),5,FONDO NACIONAL DE FOMENTO AL TURISMO,CALIDAD Y MEJORA CONTINUA DEL SECTOR TURISTICO (19001n0675),2022-06-16,2023-06-15,"APOYAR EN LAS FUNCIONES DE LAS DIFERENTES AREAS QUE INTEGRAN FONATUR, PARA EL LOGRO DE LA MISION INSTITUCIONAL",PROMOVER EL CRECIMIENTO PLANEADO Y SUSTENTABLE DE LA INVERSION TURISTICA EN EL PAIS,"Calle: TECOYOTITLA, Núm. exterior: 100, Núm. interior: S/N, Colonia: FLORIDA, Delegación o Municipio: ÁLVARO OBREGÓN",MARCELA GARCÍA MALO NÁJERA,"e-mail: gcnava@fonatur.gob.mx, Tel: 50904200 ext: 4050, Fax:","MATERIAL Y EQUIPO, PAPELERÍA,"
"APOYAR EN LAS ACTIVIDADES NECESARIA DE RESGUARDO, ESCANEO, ARCHIVO DE DOCUMENTOS DIGITALES Y FÍSICO",CVDR CAMPECHE (100113404),5,CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD CAMPECHE,DESARROLLO DE ACTIVIDADES EN SISTEMAS COMPUTACIONALES (20588a6363),2022-03-01,2023-02-28,"APOYO PARA APLICAR SUS CONOCIMIENTOS Y HABILIDADES COMPUTACIONALES EN EL DESARROLLO, ORGANIZACIÓN, REGISTRO, CAPTURA A TRAVÉS DE LAS HERRAMIENTAS TECNOLÓGICAS EN LAS NECESIDADES REQUERIDAS POR LAS ÁREAS. A DISTANCIA","APOYO CONTAR CON UN PROFESIONAL SISTEMAS COMPUTACIONES QUE APORTE CONOCIMIENTOS EN MATERIA TECNOLÓGICA, SISTEMAS DE INFORMACIÓN, BASE DE DATOS, FUNCIONAMIENTO E INTEGRIDAD DE LOS SISTEMAS COMPUTACIONALES EN LAS ÁREAS REQUERIDAS Y APOYO AL CENTRO DE CÓMPUTO Y OTRAS ÁREAS REQUERIDAS. A DISTANCIA","Calle: CALLE 55, Núm. exterior: 1, Núm. interior: S/N, Colonia: CENTRO, Delegación o Municipio: CAMPECHE",LUIS FELIPE PEREZ PEREYRA,"e-mail: lfperezp@ipn.mx, Tel: (981) 8115253 ext 81222, Fax: (981) 8115253",
APOYO A LA DOCENCIA A DISTANCIA,CETIS 119 (241302120),6,CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS No. 119,APOYO A SERVICIOS DOCENTES A DISTANCIA (05368c8394),2022-02-01,2023-01-31,"prestadores de servicio social dentro de éste organismo público, donde es una oportunidad para acercar a los alumno a conocer y familiarizarse con los diferentes tipos de programas y actividades que se realizan en el Cetis 119.",Desarrollar en los prestadores una conciencia de compromiso y participación en un ambiente participativo que les permita desarrollar y aplicar los conocimientos y habilidades que han adquirido durante su formación académica.,"Calle: PICHARDO PAGAZA, Núm. exterior: S/N, Núm. interior: S/N, Colonia: FUENTTES DE ARAGON, Delegación o Municipio: ECATEPEC",MARCO ANTONIO REYES ALFARO,"e-mail: firemarck@hotmail.com, Tel: 57777870, Fax: 57777870","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN,"
APOYO A LAS DIVERSAS ACTIVIDADES DE LA ESCUELA,"RVOE IECA, ""GAUSS JORDAN"", A.C. (400008000)",8,"RVOE INSTITUTO ESPECIALIZADO EN COMPUTACION Y ADMINISTRACION, ""GAUSS JORDAN"", A.C.",PROGRAMA DE APOYO A ALUMNOS EXTERNOS (05127a4941),2022-08-16,2023-08-15,"QUE LOS ALUMNOS APOYEN A LAS DIFERENTES ACTIVIDADES DEL PLANTEL, PARA UN MEJOR TRATO HACIA NUESTROS ALUMNOS.","COINTAR CON PRESTADORES DE SERVICIO SOCIAL, ES DE VITAL IMPORTANCIA, YA QUE CON SU APOYO PUEDEN ASESORTAR A LOS ALUMNOS DE NIVEL MEDIO Y SUPERIOR, ASI COMO AL APOYO A LAS DIFERENTES ACTIVIDADES ADMINISTRATIVAS Y TECNOLOGICAS DEL PLANTEL.","Calle: DVORAK, Núm. exterior: 59, Núm. interior: S/N, Colonia: VALLEJO, Delegación o Municipio: G.A.M",MARÍA DEL ROSARIO BALTAR RODRÍGUEZ,"e-mail: titulacion@gaussjordan.edu.mx, Tel: 5537-2220 y 5537-4400 ext. 102, Fax:","ASESORÍA, CURSOS, MATERIAL Y EQUIPO, PAPELERÍA,"
